Year,Reference_Area_Code,Reference_Area,Labour_Share_alcd2,Capital_Stock_oknd,Hours_nlht,sL,sK,kh_ratio,x,y
2022,AUS,Australia,55.7,3521.4,23086.16015,0.557,0.44299999999999995,0.1525329451550218,-1.880374672463191,0.22899546988214853
2022,AUT,Austria,61.9,1333.1,7209.0,0.619,0.381,0.18492162574559576,-1.6878231882849475,0.48530589755789505
2022,BEL,Belgium,63.7,1365.2,8036.3,0.637,0.363,0.1698791732513719,-1.7726678402114242,0.5623668213073126
2022,CAN,Canada,58.5,3215.4,34023.1,0.585,0.41500000000000004,0.09450637948922938,-2.3590879389384574,0.34333332700115804
2022,CHE,Switzerland,64.8,1996.6,7965.5,0.648,0.352,0.2506559538007658,-1.3836739821106248,0.6102595207541777
2022,DEU,Germany,63.0,10174.7,61297.0,0.63,0.37,0.1659901789647128,-1.795826655238961,0.5322168137473082
2022,DNK,Denmark,58.7,805.2,4379.8,0.5870000000000001,0.4129999999999999,0.18384401114206128,-1.6936676464618534,0.351577226867064
2022,ESP,Spain,61.8,4488.3,34448.7,0.618,0.382,0.1302893868273694,-2.037997249992437,0.48106784885111553
2022,FIN,Finland,61.1,794.0,4281.4,0.611,0.389,0.18545335637875462,-1.6849518766459863,0.45151761555314895
2022,FRA,France,67.6,7938.4,45035.9,0.6759999999999999,0.32400000000000007,0.17626826598335993,-1.7357482058746587,0.7354495602506345
2022,GBR,United Kingdom,62.4,7099.2,49610.4,0.624,0.376,0.14309902762324028,-1.9442183875284909,0.5065612249795332
2022,GRC,Greece,56.1,767.1,10054.5,0.561,0.43899999999999995,0.07629419662837536,-2.573158403500871,0.24522149244752528
2022,ITA,Italy,57.8,5939.2,43212.2,0.578,0.42200000000000004,0.13744266665432447,-1.9845484186183167,0.3145685546363655
2022,JPN,Japan,64.6,14357.5,109777.0,0.6459999999999999,0.3540000000000001,0.13078786995454422,-2.034178581609992,0.601502590648827
2022,LUX,Luxembourg,58.6,153.1,737.6,0.586,0.41400000000000003,0.20756507592190887,-1.5723103695787461,0.34745381575169815
2022,NLD,Netherlands,60.9,2276.0,14511.2,0.609,0.391,0.15684436848778874,-1.852501248797538,0.44311070772453115
2022,NOR,Norway,39.4,1127.9,4166.0,0.39399999999999996,0.6060000000000001,0.27073931829092657,-1.3065988461750462,-0.4305290767713808
2022,NZL,New Zealand,61.7,551.9,4856.654,0.617,0.383,0.11363790790943722,-2.174738131973451,0.4768340347247418
2022,PRT,Portugal,63.6,613.0,9536.4,0.636,0.364,0.06428002181116564,-2.7445063987979226,0.5580446957033814
2022,SWE,Sweden,62.8,1716.6,8554.6,0.628,0.372,0.20066397026161362,-1.6061235596661898,0.5236463121950522
2022,USA,United States,58.7,46586.3,282005.0,0.5870000000000001,0.4129999999999999,0.16519671637027714,-1.8006182947860412,0.351577226867064
2022,IRL,Ireland,30.4,778.1,4365.4,0.304,0.696,0.17824254363861275,-1.7246100514820926,-0.8283219589281979
