Reference_Area,fitted,residual,studentized_residual,leverage,cooks_d,x,y,kh_ratio,Labour_Share_alcd2
Norway,0.24121974730114182,-0.6717488240725227,-2.3414030735464,0.17504227160603492,0.4751314009442505,-1.3065988461750462,-0.4305290767713808,0.27073931829092657,39.4
Ireland,0.32694356373833966,-1.1552655226665376,-5.102628983118725,0.054930519716997056,0.3360239326694686,-1.7246100514820926,-0.8283219589281979,0.17824254363861275,30.4
Greece,0.5009599590957641,-0.2557384666482388,-0.8303278189864334,0.23537807073357997,0.1077916122745325,-2.573158403500871,0.24522149244752528,0.07629419662837536,56.1
Switzerland,0.25702596187369225,0.3532335588804854,1.0970438036731296,0.142521870425179,0.09901014058645655,-1.3836739821106248,0.6102595207541777,0.2506559538007658,64.8
France,0.3292277252404127,0.40622183501022174,1.2085034581394485,0.05361702884167782,0.04044043244521085,-1.7357482058746587,0.7354495602506345,0.17626826598335993,67.6
Sweden,0.3026448986648683,0.22100141353018388,0.6478856524089093,0.07496642387455232,0.01751710195135038,-1.6061235596661898,0.5236463121950522,0.20066397026161362,62.8
Belgium,0.3367990341350836,0.22556778717222903,0.6526161262812339,0.04996362623022349,0.011530496182940823,-1.7726678402114242,0.5623668213073126,0.1698791732513719,63.7
Japan,0.3904284548477165,0.21107413580111056,0.6114532624069318,0.05489435763175968,0.011208755323859365,-2.034178581609992,0.601502590648827,0.13078786995454422,64.6
Canada,0.45705937227945015,-0.11372604527829211,-0.34232190941145874,0.13623666872045614,0.009668179776450802,-2.3590879389384574,0.34333332700115804,0.09450637948922938,58.5
Germany,0.3415483374626471,0.1906684762846611,0.5493765617478006,0.04822118981760119,0.007922167206194786,-1.795826655238961,0.5322168137473082,0.1659901789647128,63.0
Austria,0.31939948293864917,0.16590641461924588,0.48011656346159826,0.05996466775513304,0.007646343196680228,-1.6878231882849475,0.48530589755789505,0.18492162574559576,61.9
Finland,0.3188106475468048,0.13270696800634413,0.38329432411732905,0.060402548737149314,0.0049326399039349555,-1.6849518766459863,0.45151761555314895,0.18545335637875462,61.1
United Kingdom,0.37197983178166083,0.13458139319787232,0.3860076740552065,0.04710585415306751,0.0038465905384710577,-1.9442183875284909,0.5065612249795332,0.14309902762324028,62.4
Australia,0.3588870561779388,-0.12989158629579028,-0.37213172587856963,0.04545481898563148,0.0034456356240211337,-1.880374672463191,0.22899546988214853,0.1525329451550218,55.7
Spain,0.39121156980562954,0.08985627904548599,0.2582943145706412,0.05536633733549021,0.0020508607501222085,-2.037997249992437,0.48106784885111553,0.1302893868273694,61.8
Netherlands,0.35317090258335865,0.0899398051411725,0.2572238012515203,0.045743205437044715,0.0016634904465755588,-1.852501248797538,0.44311070772453115,0.15684436848778874,60.9
Portugal,0.5360992183051838,0.021945477398197633,0.07539451922932472,0.34080427981188954,0.0015462748832222183,-2.7445063987979226,0.5580446957033814,0.06428002181116564,63.6
New Zealand,0.4192537613009287,0.05758027342381311,0.16753403443463605,0.07985474170992798,0.001280134859245456,-2.174738131973451,0.4768340347247418,0.11363790790943722,61.7
Luxembourg,0.2957106450768982,0.05174317067479994,0.150764118694782,0.08271713274898812,0.0010774951822594813,-1.5723103695787461,0.34745381575169815,0.20756507592190887,58.6
Italy,0.3802505291652662,-0.06568197452890068,-0.1880967644947014,0.04980735682397753,0.0009742780586168077,-1.9845484186183167,0.3145685546363655,0.13744266665432447,57.8
Denmark,0.3205980375552986,0.03097918931176541,0.08908908081122958,0.059093484754204034,0.00026224493001985753,-1.6936676464618534,0.351577226867064,0.18384401114206128,58.7
United States,0.34253098487437234,0.009046241992691662,0.025856791056730614,0.04791354414943551,1.7707705028198313e-05,-1.8006182947860412,0.351577226867064,0.16519671637027714,58.7
